Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,10.150000,11.500000,10.150000,11.258000,11.258000,148774
2008-02-01,11.540000,13.050000,11.010000,12.890000,12.890000,148323
2008-03-01,13.200000,13.790000,10.970000,11.254000,11.254000,247169
2008-04-01,10.830000,11.630000,10.450000,10.740000,10.740000,144481
2008-05-01,10.700000,11.800000,10.400000,10.748000,10.748000,103661
2008-06-01,10.730000,11.260000,10.560000,11.040000,11.040000,40063
2008-07-01,11.070000,12.050000,10.810000,11.192000,11.192000,212357
2008-08-01,11.250000,11.250000,8.660000,9.250000,9.250000,200528
2008-09-01,9.300000,9.300000,7.290000,8.806000,8.806000,354584
2008-10-01,8.690000,9.000000,6.850000,7.657000,7.657000,456451
2008-11-01,7.830000,8.320000,7.040000,7.913000,7.913000,166628
2008-12-01,7.870000,7.970000,7.270000,7.800000,7.800000,118144
2009-01-01,7.950000,9.760000,7.830000,9.682000,9.682000,149372
2009-02-01,9.710000,11.460000,9.460000,10.427000,10.427000,973006
2009-03-01,10.710000,11.000000,9.000000,9.435000,9.435000,1062640
2009-04-01,9.710000,9.895000,8.910000,9.183000,9.183000,1028572
2009-05-01,9.460000,10.950000,9.430000,10.870000,10.870000,655331
2009-06-01,11.050000,11.190000,9.600000,9.800000,9.800000,1116717
2009-07-01,9.650000,9.780000,8.830000,9.530000,9.530000,935530
2009-08-01,9.790000,10.480000,9.480000,10.110000,10.110000,890174
2009-09-01,10.210000,11.800000,10.140000,11.030000,11.030000,1084875
2009-10-01,11.230000,12.020000,10.850000,10.900000,10.900000,1106091
2009-11-01,11.000000,12.440000,10.970000,12.050000,12.050000,1807852
2009-12-01,12.230000,12.700000,11.500000,11.620000,11.620000,693007
2010-01-01,11.730000,12.950000,11.390000,11.440000,11.440000,1185240
2010-02-01,11.530000,11.970000,10.780000,11.810000,11.810000,857519
2010-03-01,12.000000,12.890000,11.960000,12.750000,12.750000,1165413
2010-04-01,12.840000,13.910000,12.820000,13.900000,13.900000,870028
2010-05-01,13.850000,15.590000,13.120000,14.900000,14.900000,3412780
2010-06-01,14.910000,15.450000,14.250000,14.905000,14.905000,1519183
2010-07-01,14.890000,14.920000,13.170000,13.540000,13.540000,850922
2010-08-01,13.645000,14.980000,13.525000,14.920000,14.920000,1140950
2010-09-01,14.950000,15.890000,14.820000,15.710000,15.710000,1921557
2010-10-01,15.750000,17.350000,15.710000,17.094999,17.094999,1818238
2010-11-01,17.230000,21.010000,16.815001,20.965000,20.965000,4198214
2010-12-01,21.445000,23.000000,20.850000,22.594999,22.594999,1779720
2011-01-01,22.875000,22.969999,19.059999,20.160000,20.160000,2625925
2011-02-01,20.135000,24.969999,19.900000,24.084999,24.084999,2364029
2011-03-01,24.200001,26.379999,23.690001,26.040001,26.040001,3340225
2011-04-01,26.129999,32.950001,25.889999,31.955000,31.955000,3810891
2011-05-01,31.500000,31.500000,22.400000,26.250000,26.250000,6876581
2011-06-01,26.000000,26.100000,22.934999,23.490000,23.490000,1438701
2011-07-01,23.389999,28.325001,22.695000,27.174999,27.174999,1660198
2011-08-01,26.799999,29.980000,25.760000,28.205000,28.205000,2435562
2011-09-01,28.325001,30.200001,20.299999,21.980000,21.980000,3307542
2011-10-01,22.490000,24.600000,20.915001,24.090000,24.090000,1430088
2011-11-01,24.225000,25.065001,22.260000,23.735001,23.735001,2369094
2011-12-01,23.705000,24.299999,19.860001,21.299999,21.299999,987255
2012-01-01,21.900000,25.270000,21.000000,24.934999,24.934999,788029
2012-02-01,24.900000,27.170000,24.540001,26.035000,26.035000,1201883
2012-03-01,25.900000,26.049999,23.225000,23.695000,23.695000,998287
2012-04-01,23.830000,24.389999,22.504999,22.709999,22.709999,425439
2012-05-01,22.750000,22.850000,20.910000,21.995001,21.995001,604229
2012-06-01,21.965000,23.250000,20.540001,20.799999,20.799999,660548
2012-07-01,21.920000,22.514999,21.055000,22.282200,22.282200,722561
2012-08-01,22.370001,24.295000,21.500000,23.665001,23.665001,949221
2012-09-01,24.190001,26.309999,24.190001,25.983500,25.983500,1097183
2012-10-01,25.900000,26.650000,23.709999,24.299999,24.299999,743578
2012-11-01,24.400000,25.719999,23.340000,25.674999,25.674999,481375
2012-12-01,25.125000,25.155001,21.799999,22.295000,22.295000,435860
2013-01-01,22.500000,23.650000,21.870001,22.629999,22.629999,447880
2013-02-01,22.400000,23.150000,20.700001,21.219999,21.219999,315117
2013-03-01,21.125000,22.055000,20.700001,21.725000,21.725000,505996
2013-04-01,21.219999,21.850000,16.910000,18.035000,18.035000,1009137
2013-05-01,17.440001,18.000000,16.135000,16.690001,16.690001,444640
2013-06-01,16.730000,17.000000,13.745000,14.390000,14.390000,492934
2013-07-01,14.805000,15.050000,14.200000,14.240000,14.240000,289421
2013-08-01,14.410000,18.120001,14.000000,17.344999,17.344999,593906
2013-09-01,17.500000,18.000000,15.330000,15.640000,15.640000,503103
2013-10-01,15.600000,16.250000,14.760000,15.600000,15.600000,444686
2013-11-01,15.625000,15.800000,14.005000,14.275000,14.275000,474040
2013-12-01,14.480000,14.480000,13.510000,13.820000,13.820000,475953
2014-01-01,13.830000,14.600000,13.545000,13.710000,13.710000,545186
2014-02-01,13.710000,15.590000,13.705000,14.875000,14.875000,675943
2014-03-01,15.240000,15.260000,13.750000,13.875000,13.875000,685953
2014-04-01,13.865000,14.260000,13.250000,13.380000,13.380000,618320
2014-05-01,13.280000,14.070000,13.230000,13.325000,13.325000,470514
2014-06-01,13.300000,15.000000,13.000000,14.700000,14.700000,966285
2014-07-01,14.820000,15.290000,14.565000,14.755000,14.755000,1490673
2014-08-01,14.720000,14.760000,14.050000,14.340000,14.340000,635411
2014-09-01,14.305000,14.400000,12.875000,13.095000,13.095000,850012
2014-10-01,13.010000,13.415000,12.135000,12.260000,12.260000,1731906
2014-11-01,12.340000,12.955000,11.735000,12.155000,12.155000,1146387
2014-12-01,11.800000,13.450000,11.640000,12.960000,12.960000,649222
2015-01-01,12.750000,15.830000,12.450000,14.610000,14.610000,1650881
2015-02-01,14.980000,15.070000,13.650000,14.240000,14.240000,731478
2015-03-01,14.415000,15.220000,13.925000,14.965000,14.965000,841929
2015-04-01,14.865000,15.175000,12.870000,13.715000,13.715000,1776183
2015-05-01,14.055000,15.070000,13.760000,14.635000,14.635000,595084
2015-06-01,14.630000,15.050000,13.315000,13.425000,13.425000,872330
2015-07-01,13.515000,13.870000,12.630000,12.925000,12.925000,1904883
2015-08-01,12.910000,13.490000,11.800000,12.450000,12.450000,797058
2015-09-01,12.425000,13.070000,12.140000,12.490000,12.490000,281232
2015-10-01,12.545000,14.170000,12.390000,13.535000,13.535000,683286
2015-11-01,13.430000,13.630000,12.560000,12.805000,12.805000,228540
2015-12-01,12.820000,12.930000,11.900000,12.170000,12.170000,308203
2016-01-01,12.440000,12.780000,12.100000,12.630000,12.630000,236424
2016-02-01,12.650000,13.535000,12.515000,13.070000,13.070000,681089
2016-03-01,13.095000,13.850000,12.875000,12.975000,12.975000,1987055
2016-04-01,12.950000,15.000000,12.500000,14.945000,14.945000,2864372
2016-05-01,14.835000,15.000000,13.680000,13.745000,13.745000,1174637
2016-06-01,13.755000,15.950000,13.640000,15.940000,15.940000,1949670
2016-07-01,15.980000,17.799999,15.980000,17.344999,17.344999,3479473
2016-08-01,17.535000,17.730000,15.680000,16.004999,16.004999,1509103
2016-09-01,16.025000,17.020000,15.930000,16.469999,16.469999,1009006
2016-10-01,16.245001,16.400000,14.650000,15.525000,15.525000,1605483
2016-11-01,15.630000,16.610001,14.370000,14.875000,14.875000,1727997
2016-12-01,14.810000,15.510000,14.350000,14.500000,14.500000,742106
2017-01-01,14.500000,15.550000,14.495000,15.490000,15.490000,782396
2017-02-01,15.440000,16.580000,15.370000,16.555000,16.555000,807295
2017-03-01,16.570000,16.639999,15.090000,16.215000,16.215000,917258
2017-04-01,16.254999,16.660000,14.985000,15.070000,15.070000,789732
2017-05-01,14.980000,14.980000,14.070000,14.710000,14.710000,1707477
2017-06-01,14.645000,14.990000,13.785000,13.880000,13.880000,649791
2017-07-01,13.810000,13.955000,12.680000,13.605000,13.605000,695026
2017-08-01,13.600000,14.050000,13.000000,14.055000,14.055000,580605
2017-09-01,14.030000,14.400000,13.430000,13.525000,13.525000,429508
2017-10-01,13.350000,14.100000,13.130000,13.590000,13.590000,400735
2017-11-01,13.760000,14.110000,13.028000,13.050000,13.050000,638021
2017-12-01,13.100000,13.498000,12.660000,13.450000,13.450000,536402
2018-01-01,13.450000,13.608000,12.960000,13.154000,13.154000,1312192
2018-02-01,13.160000,13.188000,12.596000,12.792000,12.792000,345041
2018-03-01,12.700000,12.884000,12.468000,12.568000,12.568000,393923
2018-04-01,12.568000,13.284000,12.528000,12.788000,12.788000,661109
2018-05-01,12.788000,13.540000,12.788000,13.400000,13.400000,548585
2018-06-01,13.340000,14.070000,13.020000,13.080000,13.080000,1018061
2018-07-01,13.000000,13.102000,12.410000,12.562000,12.562000,397519
2018-08-01,12.508000,12.766000,11.774000,11.836000,11.836000,375394
2018-09-01,11.824000,11.968000,11.400000,11.952000,11.952000,660577
2018-10-01,11.928000,12.264000,11.684000,11.936000,11.936000,440327
2018-11-01,11.970000,12.338000,11.650000,11.776000,11.776000,564804
2018-12-01,11.960000,12.662000,11.950000,12.616000,12.616000,456585
2019-01-01,12.616000,13.300000,12.616000,13.244000,13.244000,539445
2019-02-01,13.200000,13.420000,12.950000,12.976000,12.976000,779315
2019-03-01,12.972000,12.976000,12.548000,12.740000,12.740000,422729
2019-04-01,12.668000,12.820000,12.398000,12.564000,12.564000,684066
2019-05-01,12.564000,12.596000,12.040000,12.390000,12.390000,633746
2019-06-01,12.336000,12.884000,12.212000,12.654000,12.654000,939513
2019-07-01,12.620000,14.116000,12.530000,13.886000,13.886000,2414022
2019-08-01,13.686000,15.850000,13.600000,15.756000,15.756000,7953776
2019-09-01,15.730000,16.650000,14.690000,14.686000,14.686000,3413403
2019-10-01,14.678000,15.548000,14.640000,15.232000,15.232000,1516825
2019-11-01,15.280000,15.382000,14.216000,14.486000,14.486000,1118439
2019-12-01,14.384000,15.138000,14.056000,15.028000,15.028000,673502
2020-01-01,15.028000,15.646000,14.872000,15.296000,15.296000,1870778
2020-02-01,15.078000,16.219999,14.150000,14.172000,14.172000,1525228
2020-03-01,14.150000,14.672000,10.024000,12.126000,12.126000,1558739
2020-04-01,11.960000,13.580000,11.872000,12.958000,12.958000,1600565
2020-05-01,12.958000,15.250000,12.674000,15.018000,15.018000,2040878
2020-06-01,15.270000,15.448000,14.120000,14.842000,14.842000,1494900
2020-07-01,15.532000,19.698000,15.360000,19.167999,19.167999,4462120
2020-08-01,19.337999,23.395000,19.232000,21.290001,21.290001,3591548
