Date,Open,High,Low,Close,Adj Close,Volume
2009-10-01,16.990000,17.320000,16.520000,16.520000,16.520000,703
2009-11-01,16.549999,17.389999,16.459999,16.860001,16.860001,51865
2009-12-01,17.030001,18.129999,17.030001,18.070000,18.070000,78003
2010-01-01,18.170000,18.600000,17.770000,17.940001,17.940001,14303
2010-02-01,17.820000,18.620001,17.139999,18.379999,18.379999,86540
2010-03-01,18.559999,19.930000,18.549999,19.660000,19.660000,114226
2010-04-01,19.770000,20.469999,19.770000,20.090000,20.090000,7314
2010-05-01,20.070000,20.415001,18.580000,19.549999,19.549999,35831
2010-06-01,19.495001,20.330000,19.004999,19.010000,19.010000,492429
2010-07-01,18.830000,20.030001,18.320000,19.209999,19.209999,62569
2010-08-01,19.340000,19.590000,18.840000,19.014999,19.014999,653063
2010-09-01,19.110001,20.090000,19.110001,19.295000,19.295000,229049
2010-10-01,19.285000,19.690001,19.100000,19.570000,19.570000,347941
2010-11-01,19.629999,20.540001,19.559999,20.440001,20.440001,138401
2010-12-01,20.549999,21.825001,20.549999,21.370001,21.370001,145630
2011-01-01,21.655001,22.230000,21.240000,21.330000,21.330000,163651
2011-02-01,21.410000,22.475000,21.410000,21.889999,21.889999,535083
2011-03-01,21.995001,22.055000,20.120001,21.059999,21.059999,159215
2011-04-01,21.139999,21.290001,20.250000,21.014999,21.014999,34722
2011-05-01,21.020000,21.514999,20.680000,21.195000,21.195000,92442
2011-06-01,21.184999,21.184999,20.080000,20.730000,20.730000,49087
2011-07-01,20.709999,21.450001,20.434999,20.594999,20.594999,341502
2011-08-01,20.735001,20.735001,17.510000,19.040001,19.040001,821726
2011-09-01,19.150000,19.385000,18.129999,18.775000,18.775000,61259
2011-10-01,18.440001,20.170000,18.075001,19.934999,19.934999,869627
2011-11-01,19.655001,20.174999,18.639999,19.985001,19.985001,854901
2011-12-01,19.995001,20.799999,19.825001,20.780001,20.780001,16341
2012-01-01,21.200001,21.910000,21.020000,21.565001,21.565001,136502
2012-02-01,21.639999,22.469999,21.639999,22.200001,22.200001,83562
2012-03-01,22.205000,23.055000,22.014999,22.584999,22.584999,945637
2012-04-01,22.760000,22.780001,22.000000,22.395000,22.395000,65336
2012-05-01,22.480000,22.655001,21.165001,21.830000,21.830000,595813
2012-06-01,21.760000,22.395000,21.170000,22.395000,22.395000,230399
2012-07-01,22.565001,23.665001,22.565001,23.450001,23.450001,37099
2012-08-01,23.410000,24.200001,23.340000,23.594999,23.594999,242124
2012-09-01,23.500000,24.000000,23.059999,23.565001,23.565001,132400
2012-10-01,23.650000,23.825001,23.125000,23.235001,23.235001,323741
2012-11-01,23.280001,23.820000,22.655001,23.430000,23.430000,292312
2012-12-01,23.434999,23.840000,23.150000,23.240000,23.240000,408766
2013-01-01,23.240000,24.530001,23.240000,24.075001,24.075001,1606438
2013-02-01,24.084999,25.025000,24.000000,24.980000,24.980000,1181654
2013-03-01,25.030001,26.600000,24.934999,26.075001,26.075001,934145
2013-04-01,26.075001,26.405001,25.315001,26.174999,26.174999,819240
2013-05-01,26.174999,27.844999,26.025000,26.850000,26.850000,1008452
2013-06-01,26.559999,26.655001,24.995001,25.975000,25.975000,358396
2013-07-01,26.125000,27.245001,25.930000,26.850000,26.850000,133508
2013-08-01,26.995001,27.245001,26.045000,26.230000,26.230000,154332
2013-09-01,26.555000,27.590000,26.520000,27.000000,27.000000,771483
2013-10-01,27.010000,28.025000,26.485001,28.020000,28.020000,598273
2013-11-01,28.000000,28.590000,27.924999,28.370001,28.370001,344180
2013-12-01,28.389999,28.639999,27.355000,28.540001,28.540001,545270
2014-01-01,28.540001,29.170000,27.745001,28.025000,28.025000,1145168
2014-02-01,28.040001,29.004999,27.400000,28.915001,28.915001,1911018
2014-03-01,28.594999,29.215000,28.000000,28.920000,28.920000,409429
2014-04-01,29.000000,29.500000,28.150000,29.025000,29.025000,319558
2014-05-01,29.025000,30.165001,28.695000,30.084999,30.084999,1426070
2014-06-01,30.280001,30.905001,30.090000,30.555000,30.555000,1204837
2014-07-01,30.635000,31.500000,30.410000,30.820000,30.820000,842242
2014-08-01,30.754999,31.975000,29.924999,31.934999,31.934999,2151503
2014-09-01,32.080002,33.000000,31.940001,32.535000,32.535000,1475270
2014-10-01,32.320000,33.084999,29.450001,32.919998,32.919998,5833894
2014-11-01,33.035000,34.005001,32.445000,33.849998,33.849998,1443282
2014-12-01,33.650002,34.570000,31.629999,34.365002,34.365002,3037967
2015-01-01,34.365002,37.160000,33.549999,36.110001,36.110001,4465439
2015-02-01,35.990002,38.500000,35.650002,38.395000,38.395000,2665722
2015-03-01,38.509998,40.205002,38.215000,39.560001,39.560001,3315777
2015-04-01,39.090000,41.040001,38.689999,38.884998,38.884998,8903934
2015-05-01,38.884998,40.400002,37.564999,39.549999,39.549999,14717850
2015-06-01,39.849998,40.020000,37.750000,38.119999,38.119999,6056777
2015-07-01,38.380001,40.389999,37.750000,39.275002,39.275002,13087927
2015-08-01,39.349998,39.965000,32.080002,36.000000,36.000000,7787959
2015-09-01,35.334999,36.500000,33.669998,34.840000,34.840000,4709132
2015-10-01,35.349998,38.465000,34.130001,38.150002,38.150002,3117915
2015-11-01,37.889999,39.785000,37.755001,39.650002,39.650002,3695090
2015-12-01,39.775002,39.970001,35.904999,37.910000,37.910000,4485930
2016-01-01,37.910000,37.910000,33.299999,35.470001,35.470001,19548920
2016-02-01,35.599998,35.599998,31.705000,35.555000,35.555000,7427792
2016-03-01,35.320000,36.955002,35.230000,35.985001,35.985001,14595798
2016-04-01,35.595001,37.455002,35.279999,36.055000,36.055000,5233610
2016-05-01,36.270000,37.724998,35.450001,37.525002,37.525002,1873083
2016-06-01,37.500000,37.645000,35.630001,37.110001,37.110001,3732707
2016-07-01,37.305000,39.060001,36.740002,38.564999,38.564999,6258709
2016-08-01,38.750000,39.064999,37.889999,38.674999,38.674999,1048111
2016-09-01,38.884998,39.200001,37.639999,38.700001,38.700001,1685301
2016-10-01,38.634998,39.595001,38.279999,38.904999,38.904999,2112572
2016-11-01,38.935001,41.080002,37.400002,41.014999,41.014999,3648476
2016-12-01,40.715000,42.939999,40.235001,42.029999,42.029999,2246358
2017-01-01,42.084999,43.000000,41.779999,41.785000,41.785000,1851689
2017-02-01,42.115002,44.439999,41.849998,43.880001,43.880001,1763114
2017-03-01,44.264999,44.709999,42.639999,44.090000,44.090000,1631270
2017-04-01,44.169998,44.369999,43.389999,43.785000,43.785000,1945896
2017-05-01,43.785000,44.349998,42.764999,43.310001,43.310001,2508337
2017-06-01,43.445000,44.365002,42.810001,42.880001,42.880001,1933492
2017-07-01,43.000000,43.665001,42.485001,42.540001,42.540001,1414851
2017-08-01,42.625000,42.965000,40.974998,42.185001,42.185001,1297436
2017-09-01,42.345001,43.610001,41.700001,43.419998,43.419998,1032842
2017-10-01,43.639999,45.090000,43.625000,44.965000,44.965000,1326172
2017-11-01,45.075001,45.540001,43.779999,44.810001,44.810001,1961109
2017-12-01,44.794998,45.930000,44.400002,45.180000,45.180000,859745
2018-01-01,45.180000,46.895000,44.869999,45.875000,45.875000,1516229
2018-02-01,46.099998,46.099998,42.549999,45.014999,45.014999,2966169
2018-03-01,44.770000,45.360001,42.369999,43.419998,43.419998,1731908
2018-04-01,43.419998,45.145000,42.480000,45.075001,45.075001,1358758
2018-05-01,45.075001,47.275002,44.480000,46.709999,46.709999,1646875
2018-06-01,46.750000,48.185001,46.340000,46.805000,46.805000,1309742
2018-07-01,46.340000,48.610001,46.255001,47.950001,47.950001,2175889
2018-08-01,48.084999,49.134998,47.724998,48.900002,48.900002,1877554
2018-09-01,48.965000,49.349998,48.035000,49.224998,49.224998,987322
2018-10-01,49.474998,49.730000,45.099998,46.825001,46.825001,2452111
2018-11-01,46.650002,48.060001,45.250000,47.025002,47.025002,1354154
2018-12-01,48.025002,48.090000,41.720001,42.980000,42.980000,3201542
2019-01-01,43.299999,46.500000,42.250000,46.500000,46.500000,2195067
2019-02-01,46.595001,48.775002,46.369999,48.340000,48.340000,1169734
2019-03-01,48.535000,49.570000,47.849998,49.535000,49.535000,2849922
2019-04-01,49.834999,51.680000,49.834999,51.345001,51.345001,1399342
2019-05-01,51.345001,51.570000,48.555000,49.450001,49.450001,3626592
2019-06-01,48.459999,51.470001,48.209999,50.799999,50.799999,1660386
2019-07-01,51.680000,53.244999,51.430000,52.650002,52.650002,1620473
2019-08-01,52.494999,52.959999,49.230000,51.759998,51.759998,3559830
2019-09-01,51.750000,53.700001,51.450001,53.459999,53.459999,1736029
2019-10-01,53.709999,53.880001,50.935001,53.389999,53.389999,1531546
2019-11-01,53.639999,56.044998,53.619999,55.740002,55.740002,1441115
2019-12-01,55.919998,57.035000,54.250000,56.110001,56.110001,1838134
2020-01-01,56.110001,58.764999,56.105000,56.689999,56.689999,1855460
2020-02-01,56.919998,60.575001,51.000000,51.785000,51.785000,2928448
2020-03-01,53.384998,54.400002,40.599998,46.139999,46.139999,6882859
2020-04-01,44.075001,51.764999,43.450001,50.514999,50.514999,3298062
2020-05-01,50.514999,52.895000,48.500000,51.770000,51.770000,2319698
2020-06-01,52.535000,54.865002,50.415001,52.220001,52.220001,1970253
2020-07-01,53.790001,55.305000,52.290001,52.560001,52.560001,1458939
2020-08-01,53.130001,55.049999,52.900002,54.924999,54.924999,754954
